GEOID,NAME,lat,lon,year,state_name,commodity_desc,statisticcat_desc,unit_desc,Value
37057,Davidson County,35.7951312,-80.207107,1996,NORTH CAROLINA,COTTON,PRODUCTION,480 LB BALES,620
37057,Davidson County,35.7951312,-80.207107,1996,NORTH CAROLINA,HAY,PRODUCTION,TONS,35000
37057,Davidson County,35.7951312,-80.207107,1996,NORTH CAROLINA,OATS,PRODUCTION,BU,20000
37057,Davidson County,35.7951312,-80.207107,1996,NORTH CAROLINA,POTATOES,PRODUCTION,CWT,1000
37057,Davidson County,35.7951312,-80.207107,1996,NORTH CAROLINA,SORGHUM,PRODUCTION,BU,15000
37057,Davidson County,35.7951312,-80.207107,1996,NORTH CAROLINA,SOYBEANS,PRODUCTION,BU,199000
37057,Davidson County,35.7951312,-80.207107,1996,NORTH CAROLINA,TOBACCO,PRODUCTION,LB,3306000
37057,Davidson County,35.7951312,-80.207107,1996,NORTH CAROLINA,WHEAT,PRODUCTION,BU,91000
37057,Davidson County,35.7951312,-80.207107,1996,NORTH CAROLINA,WHEAT,PRODUCTION,BU,91000
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,BARLEY,PRODUCTION,BU,80485
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,BARLEY,PRODUCTION,BU,103500
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,CORN,PRODUCTION,BU,378663
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,CORN,PRODUCTION,TONS,24981
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,CORN,PRODUCTION,BU,457000
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,CORN,PRODUCTION,TONS,32000
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,COTTON,PRODUCTION,480 LB BALES,500
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,GRASSES,PRODUCTION,LB,5950
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,HAY,PRODUCTION,TONS,2169
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,HAY,PRODUCTION,TONS,2006
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,HAY,PRODUCTION,TONS,24357
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,HAY,PRODUCTION,TONS,1640
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,HAY,PRODUCTION,TONS,32000
37057,Davidson County,35.7951312,-80.207107,1997,NORTH CAROLINA,HAYLAGE,PRODUCTION,TONS,4395
